activity_id,datetime_local,date,name,sport,distance_km,duration_s,pace_str,pace_s_per_km,avg_hr,max_hr,avg_cadence_spm,avg_power,avg_gct_ms,avg_vert_osc_mm,avg_vert_ratio,avg_stride_m,vo2max,aerobic_te,anaerobic_te,training_load,rpe,body_battery_delta,calories,elev_gain_m,location,hr_z1_s,hr_z2_s,hr_z3_s,hr_z4_s,hr_z5_s
19198090130,2025-05-22T06:38:31,2025-05-22,1.2: 10K Easy,RUNNING,10.004,4381.0,07:18,437.9,179.0,190.0,162.0,200.0,284.6,8.5,10.09,0.839,40.0,4.300000190734863,0.0,189.5,70.0,-18.0,2572.67228,2100.0,Mumbai,37281.0,110001.0,359343.0,3466121.0,408223.0
19230896271,2025-05-25T17:25:26,2025-05-25,1.3: 12K Quality ,RUNNING,12.01,4861.0,06:45,404.8,184.0,195.0,162.0,220.0,279.0,8.8,9.69,0.91,40.0,5.0,0.4000000059604645,303.2,90.0,-19.0,3092.23476,3200.0,Mumbai,19000.0,5001.0,229941.0,3042429.0,1550725.0
19245587091,2025-05-27T07:00:57,2025-05-27,2.1: 10K Easy,RUNNING,10.012,4584.0,07:38,457.9,171.0,179.0,160.0,192.0,286.1,8.3,10.2,0.812,40.0,3.9000000953674316,0.0,146.3,50.0,-23.0,2518.2020199999997,2400.0,Mumbai,14893.0,41006.0,642013.0,3886409.0,0.0
19265401644,2025-05-29T07:09:30,2025-05-29,2.2: 9K,RUNNING,9.586,4427.0,07:42,461.9,176.0,193.0,152.0,186.0,282.4,8.2,9.91,0.856,40.0,4.5,0.20000000298023224,204.4,70.0,-21.0,2480.4918399999997,2000.0,Mumbai,24203.0,141477.0,625207.0,3125353.0,508974.0
19284855459,2025-05-31T05:50:11,2025-05-31,2.3: 15K Quality,RUNNING,15.008,6850.0,07:36,456.5,178.0,192.0,156.0,199.0,283.6,8.2,9.88,0.837,40.0,5.0,0.0,260.2,100.0,-24.0,3884.1485399999997,4800.0,Mumbai,24417.0,32001.0,792001.0,5803906.0,197995.0
19336695127,2025-06-05T07:57:52,2025-06-05,3.1: 10K Easy ,RUNNING,10.006,4686.0,07:48,468.3,180.0,191.0,158.0,186.0,287.3,8.2,10.15,0.809,40.0,3.799999952316284,0.0,150.7,80.0,-20.0,2572.67228,2300.0,Mumbai,18147.0,32000.0,268278.0,4064970.0,301993.0
19362846905,2025-06-08T00:04:23,2025-06-08,Mussoorie Walking,STEPS,1.004,1348.0,22:23,1342.8,116.0,157.0,70.0,,,,,0.633,,0.30000001192092896,0.0,4.3,,-1.0,322.63154,1000.0,Mussoorie,1077540.0,205001.0,61853.0,0.0,0.0
19366781116,2025-06-08T13:31:53,2025-06-08,Mussoorie Walking,STEPS,2.443,3408.0,23:15,1395.3,107.0,137.0,56.0,,,,,0.766,39.0,0.4000000059604645,0.0,5.0,,-2.0,741.6335399999999,3100.0,Mussoorie,1558608.0,365987.0,0.0,0.0,0.0
19368140280,2025-06-08T16:00:22,2025-06-08,Mussoorie Walking,STEPS,1.073,1652.0,25:39,1538.9,111.0,145.0,50.0,,,,,0.759,,0.30000001192092896,0.0,3.7,,-1.0,372.91177999999996,1600.0,Mussoorie,995454.0,229002.0,1999.0,0.0,0.0
19371391106,2025-06-08T21:20:54,2025-06-08,Mussoorie Walking,STEPS,0.629,577.0,15:17,916.6,101.0,111.0,98.0,,,,,0.656,,0.20000000298023224,0.0,2.8,,-1.0,129.89061999999998,,Mussoorie,211847.0,0.0,0.0,0.0,0.0
19428739661,2025-06-10T08:31:53,2025-06-10,Mori Hiking,HIKING,6.839,19257.0,46:56,2815.8,136.0,180.0,32.0,,,,,0.679,,3.799999952316284,0.699999988079071,149.1,,-27.0,6037.8188199999995,88100.0,Mori,5721815.0,3244491.0,6366924.0,2067000.0,0.0
19428743270,2025-06-11T08:42:08,2025-06-11,Puraula Hiking,HIKING,6.479,17711.0,45:33,2733.4,135.0,180.0,28.0,,,,,0.755,,3.0999999046325684,1.100000023841858,98.6,,-14.0,5208.19486,65900.0,Puraula,5752429.0,4977490.0,5729989.0,600999.0,0.0
19428751019,2025-06-12T08:05:28,2025-06-12,Puraula Hiking,HIKING,10.096,26169.0,43:12,2592.1,133.0,174.0,32.0,,,,,0.692,,3.299999952316284,0.4000000059604645,104.3,,-19.0,7303.204859999999,53700.0,Puraula,7298815.0,8670812.0,7960999.0,442999.0,0.0
19428756880,2025-06-13T08:46:21,2025-06-13,Puraula Hiking,HIKING,9.711,22269.0,38:13,2293.2,127.0,158.0,34.0,,,,,0.767,,2.0999999046325684,0.0,32.6,,-7.0,5518.25634,5100.0,Puraula,6200991.0,13642277.0,1116818.0,0.0,0.0
19466520123,2025-06-18T07:13:35,2025-06-18,5.1: 8K Easy,RUNNING,8.006,3751.0,07:48,468.5,187.0,196.0,158.0,189.0,293.3,8.4,10.41,0.808,39.0,3.700000047683716,0.0,135.3,80.0,-13.0,2074.0598999999997,2400.0,Mumbai,10560.0,20000.0,92999.0,1746159.0,1880940.0
19536745711,2025-06-25T07:13:23,2025-06-25,6.1: 10K Easy,RUNNING,10.003,4880.0,08:08,487.8,180.0,195.0,158.0,179.0,290.7,8.0,10.38,0.776,39.0,3.700000047683716,0.0,128.7,80.0,-18.0,2522.3920399999997,3500.0,Mumbai,11001.0,71998.0,347004.0,3427796.0,1012993.0
19575299634,2025-06-29T05:45:08,2025-06-29,6.2: 14K Quality,RUNNING,14.004,6429.0,07:39,459.1,181.0,196.0,162.0,195.0,287.9,8.3,10.32,0.805,38.0,5.0,0.0,245.5,90.0,-23.0,3569.89704,7500.0,Mumbai,27975.0,40000.0,494316.0,4626177.0,1240764.0
19605574627,2025-07-02T06:36:54,2025-07-02,7.1: 9K Speed,RUNNING,9.498,5198.0,09:07,547.3,174.0,195.0,122.0,157.0,280.6,8.2,9.71,0.887,39.0,4.699999809265137,3.0,254.7,70.0,-26.0,2706.75292,2200.0,Mumbai,49079.0,144982.0,1298572.0,2993914.0,706899.0
19644949986,2025-07-06T05:24:01,2025-07-06,7.2: 21K Quality,RUNNING,21.203,9876.0,07:46,465.8,172.0,186.0,160.0,194.0,289.9,8.3,10.37,0.8,39.0,5.0,0.0,262.1,90.0,-35.0,5170.48468,13600.0,Mumbai,28352.0,91719.0,1980508.0,7763207.0,0.0
19695891869,2025-07-11T06:10:27,2025-07-11,8.1: 13K Speed,RUNNING,13.903,8148.0,09:46,586.0,169.0,198.0,112.0,141.0,273.5,8.0,9.34,0.898,39.0,5.0,3.700000047683716,345.9,90.0,,3771.0179999999996,1100.0,Mumbai,28996.0,741410.0,3508940.0,1888940.0,1954886.0
