date,sleep_total_min,sleep_deep_min,sleep_light_min,sleep_rem_min,sleep_awake_min,sleep_score,sleep_quality_score,sleep_recovery_score,resp_avg,sleep_stress_avg,restless_moments,hrv_overnight_ms,hrv_status,hrv_weekly_avg,overnight_hr,rhr,spo2_status,vo2max_running,vo2max_fitnessage,bio_age,bmi,acute_load,chronic_load,acwr,acwr_status,training_status,fitness_trend,readiness_score,readiness_level,recovery_time_hr,pred_5k_s,pred_10k_s,pred_half_s,pred_marathon_s
2025-10-25,387.0,45.0,287.0,55.0,4.0,74.0,79.0,73.0,15.2,18.5,40.0,35.0,IN_RANGE,36.0,69.0,63.0,ONBOARDING,42.0,50.9,19.4,20.7,431.0,377.0,1.1,OPTIMAL,MAINTAINING,NO_CHANGE,10.0,POOR,4685.0,1565.0,3352.0,7315.0,16432.0
2025-10-26,462.0,60.0,359.0,43.0,50.0,68.0,62.0,63.0,15.61,23.7,50.0,33.0,IN_RANGE,36.0,72.0,,IN_RANGE,,,,,371.0,357.0,1.0,OPTIMAL,UNPRODUCTIVE,DECREASING,7.0,POOR,3147.0,1572.0,3360.0,7315.0,16487.0
2025-10-27,366.0,47.0,242.0,77.0,10.0,73.0,80.0,72.0,14.73,19.1,38.0,44.0,IN_RANGE,37.0,66.0,63.0,IN_RANGE,,50.9,19.4,20.7,310.0,350.0,0.8,OPTIMAL,UNPRODUCTIVE,DECREASING,50.0,MODERATE,1287.0,1571.0,3360.0,7315.0,16489.0
2025-10-28,399.0,59.0,281.0,59.0,30.0,68.0,68.0,55.0,15.77,27.1,33.0,29.0,IN_RANGE,36.0,74.0,63.0,IN_RANGE,,50.9,19.4,20.7,250.0,343.0,0.7,LOW,UNPRODUCTIVE,DECREASING,56.0,MODERATE,407.0,1570.0,3360.0,7315.0,16492.0
2025-10-29,318.0,86.0,177.0,55.0,0.0,64.0,81.0,60.0,17.34,24.8,26.0,28.0,IN_RANGE,34.0,72.0,63.0,IN_RANGE,,50.9,19.4,20.7,190.0,336.0,0.5,LOW,UNPRODUCTIVE,DECREASING,58.0,MODERATE,1.0,1569.0,3359.0,7315.0,16505.0
2025-10-30,404.0,84.0,246.0,74.0,9.0,77.0,82.0,71.0,16.43,19.5,39.0,35.0,IN_RANGE,34.0,69.0,63.0,IN_RANGE,,50.9,19.4,20.7,158.0,323.0,0.4,LOW,UNPRODUCTIVE,DECREASING,59.0,MODERATE,1.0,1571.0,3362.0,7315.0,16524.0
2025-10-31,450.0,69.0,304.0,77.0,1.0,79.0,78.0,65.0,15.57,22.6,51.0,38.0,IN_RANGE,34.0,68.0,63.0,IN_RANGE,,50.9,19.4,20.7,127.0,311.0,0.4,LOW,UNPRODUCTIVE,DECREASING,79.0,HIGH,1.0,1570.0,3361.0,7315.0,16524.0
2025-11-01,474.0,30.0,330.0,114.0,30.0,61.0,62.0,31.0,17.41,37.1,49.0,26.0,BELOW,33.0,76.0,63.0,IN_RANGE,,49.1,21.3,20.7,95.0,299.0,0.3,LOW,DETRAINING,DECREASING,64.0,MODERATE,1.0,1580.0,3373.0,7315.0,16598.0
2025-11-02,255.0,54.0,172.0,29.0,1.0,53.0,80.0,68.0,15.96,21.0,31.0,32.0,IN_RANGE,33.0,72.0,63.0,IN_RANGE,42.0,49.1,21.3,20.7,497.0,365.0,1.3,OPTIMAL,STRAINED,DECREASING,1.0,POOR,4437.0,1579.0,3373.0,7315.0,16622.0
2025-11-03,,,,,,,,,,,,,,31.0,,63.0,,,49.1,21.3,20.7,422.0,357.0,1.1,OPTIMAL,STRAINED,DECREASING,1.0,POOR,2965.0,1579.0,3373.0,7317.0,16650.0
2025-11-04,401.0,90.0,238.0,73.0,5.0,82.0,87.0,79.0,15.0,15.5,41.0,41.0,IN_RANGE,33.0,68.0,63.0,IN_RANGE,,49.1,21.3,20.7,347.0,349.0,0.9,OPTIMAL,STRAINED,DECREASING,35.0,LOW,1465.0,1579.0,3373.0,7319.0,16714.0
2025-11-05,463.0,44.0,333.0,86.0,9.0,82.0,79.0,74.0,16.03,18.0,50.0,37.0,IN_RANGE,34.0,70.0,,IN_RANGE,,,,,303.0,335.0,0.9,OPTIMAL,UNPRODUCTIVE,DECREASING,74.0,MODERATE,4.0,1578.0,3374.0,7322.0,16778.0
2025-11-06,373.0,71.0,249.0,53.0,17.0,71.0,76.0,66.0,15.17,21.9,43.0,35.0,IN_RANGE,34.0,69.0,,IN_RANGE,,,,,260.0,322.0,0.8,OPTIMAL,UNPRODUCTIVE,DECREASING,64.0,MODERATE,1.0,1577.0,3373.0,7324.0,16830.0
2025-11-07,153.0,64.0,89.0,0.0,8.0,33.0,80.0,74.0,14.42,18.0,18.0,38.0,IN_RANGE,34.0,69.0,,IN_RANGE,,,,,217.0,308.0,0.7,LOW,UNPRODUCTIVE,DECREASING,25.0,LOW,390.0,1576.0,3373.0,7327.0,16900.0
2025-11-08,452.0,87.0,261.0,104.0,4.0,80.0,85.0,60.0,15.35,24.8,27.0,32.0,IN_RANGE,36.0,70.0,64.0,IN_RANGE,,49.0,21.4,20.7,173.0,295.0,0.5,LOW,UNPRODUCTIVE,DECREASING,54.0,MODERATE,1.0,1580.0,3378.0,7330.0,16993.0
2025-11-09,512.0,57.0,320.0,135.0,5.0,85.0,83.0,72.0,16.1,18.9,58.0,34.0,IN_RANGE,36.0,70.0,,IN_RANGE,,,,,130.0,282.0,0.4,LOW,DETRAINING,NO_CHANGE,70.0,MODERATE,1.0,1585.0,3380.0,7335.0,17090.0
2025-11-10,291.0,32.0,220.0,39.0,17.0,51.0,63.0,35.0,17.6,35.3,23.0,22.0,BELOW,33.0,77.0,,IN_RANGE,,,,,87.0,268.0,0.3,LOW,DETRAINING,NO_CHANGE,47.0,LOW,131.0,1590.0,3381.0,7340.0,17194.0
2025-11-11,404.0,61.0,268.0,75.0,33.0,71.0,71.0,62.0,14.9,24.1,37.0,30.0,IN_RANGE,32.0,72.0,64.0,IN_RANGE,,49.0,21.4,20.7,43.0,255.0,0.1,LOW,DETRAINING,NO_CHANGE,60.0,MODERATE,1.0,1595.0,3381.0,7346.0,17299.0
